nomdiag_cod,nomdiag_desc,nomdiag_codigo_cie10,nomdiag_desc_vector,diag_cod_cie10,diag_desc,diag_1,diag_2
300001,Colera clasico,A000,'clasic':2 'coler':1,A00.0,"COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO CHOLERAE",,S
300002,Colera debido cholerae,A000,'cholera':3 'coler':1 'deb':2,A00.0,"COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO CHOLERAE",,S
300004,Colera El Tor,A001,'coler':1 'tor':3,A00.1,"COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO EL TOR",,S
300005,"Disenteria, colera",A001,'coler':2 'disenteri':1,A00.1,"COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO EL TOR",,S
300003,Colera debido El Tor,A001,'coler':1 'deb':2 'tor':4,A00.1,"COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO EL TOR",,S
300006,"El Tor, colera",A001,'coler':3 'tor':2,A00.1,"COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO EL TOR",,S
300007,Enteritis El Tor,A001,'enteritis':1 'tor':3,A00.1,"COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO EL TOR",,S
300009,"Diarrea, colerica",A009,'coler':2 'diarre':1,A00.9,"COLERA, NO ESPECIFICADO",,S
300008,Colera (asiatico) (epidemico) (maligno),A009,'asiat':2 'coler':1 'epidem':3 'malign':4,A00.9,"COLERA, NO ESPECIFICADO",,S
300016,fiebre tifoidea,A010,'fiebr':1 'tifoide':2,A01.0,FIEBRE TIFOIDEA,,S
300032,"Ulcera, tifoidea (fiebre) (perforante)",A010,'fiebr':3 'perfor':4 'tifoide':2 'ulcer':1,A01.0,FIEBRE TIFOIDEA,,S
300033,fiebre de la prisión,A010,'fiebr':1 'prision':4,A01.0,FIEBRE TIFOIDEA,,S
300017,Fiebre tifoidea (abortiva) (hemorragica) (intermitente) (maligna),A010,'abort':3 'fiebr':1 'hemorrag':4 'intermitent':5 'malign':6 'tifoide':2,A01.0,FIEBRE TIFOIDEA,,S
300018,fiebres tifoidea y paratifoidea,A010,'fiebr':1 'paratifoide':4 'tifoide':2,A01.0,FIEBRE TIFOIDEA,,S
300019,Ileotifus,A010,'ileotifus':1,A01.0,FIEBRE TIFOIDEA,,S
300010,Absceso postifoidea,A010,'absces':1 'postifoide':2,A01.0,FIEBRE TIFOIDEA,,S
300020,"Infeccion, Bacterium typhosum",A010,'bacterium':2 'infeccion':1 'typhosum':3,A01.0,FIEBRE TIFOIDEA,,S
300021,"Infeccion, Salmonella tifica, tifosa, typhi",A010,'infeccion':1 'salmonell':2 'tific':3 'tifos':4 'typhi':5,A01.0,FIEBRE TIFOIDEA,,S
300011,"Eberth, enfermedad o sindrome de (fiebre tifoidea)",A010,'eberth':1 'enfermed':2 'fiebr':6 'sindrom':4 'tifoide':7,A01.0,FIEBRE TIFOIDEA,,S
300022,"Infeccion, tifoidea (abortiva) (ambulatoria) (bacilo)",A010,'abort':3 'ambulatori':4 'bacil':5 'infeccion':1 'tifoide':2,A01.0,FIEBRE TIFOIDEA,,S
300023,Linfadenitis mesenterica debida a Salmonella typhi,A010,'deb':3 'linfadenitis':1 'mesenter':2 'salmonell':5 'typhi':6,A01.0,FIEBRE TIFOIDEA,,S
300012,Enfermedad Eberth (fiebre tifoidea),A010,'eberth':2 'enfermed':1 'fiebr':3 'tifoide':4,A01.0,FIEBRE TIFOIDEA,,S
300024,Perforacion gastrointestinal tifica,A010,'gastrointestinal':2 'perforacion':1 'tific':3,A01.0,FIEBRE TIFOIDEA,,S
300025,Perforacion intestino tifoidea,A010,'intestin':2 'perforacion':1 'tifoide':3,A01.0,FIEBRE TIFOIDEA,,S
300013,Enteritis tifica,A010,'enteritis':1 'tific':2,A01.0,FIEBRE TIFOIDEA,,S
300026,"Perforacion tifica, gastrointestinal",A010,'gastrointestinal':3 'perforacion':1 'tific':2,A01.0,FIEBRE TIFOIDEA,,S
300027,Tifoenteritis,A010,'tifoenteritis':1,A01.0,FIEBRE TIFOIDEA,,S
300014,"Febris, tifosa",A010,'febris':1 'tifos':2,A01.0,FIEBRE TIFOIDEA,,S
300028,"Tifoidea (abortiva, ambulatoria, cualquier sitio, fiebre, hemorragica, infeccion, intermitente, maligna, reumatica)",A010,'abort':2 'ambulatori':3 'cualqui':4 'fiebr':6 'hemorrag':7 'infeccion':8 'intermitent':9 'malign':10 'reumat':11 'siti':5 'tifoide':1,A01.0,FIEBRE TIFOIDEA,,S
300029,Tifoperitonitis,A010,'tifoperitonitis':1,A01.0,FIEBRE TIFOIDEA,,S
300015,Fiebre tifogastrica,A010,'fiebr':1 'tifogastr':2,A01.0,FIEBRE TIFOIDEA,,S
300030,Tifus abdominal,A010,'abdominal':2 'tifus':1,A01.0,FIEBRE TIFOIDEA,,S
300031,"Ulcera, intestino, tifoidea (fiebre)",A010,'fiebr':4 'intestin':2 'tifoide':3 'ulcer':1,A01.0,FIEBRE TIFOIDEA,,S
300034,Fiebre paratifoidea A,A011,'fiebr':1 'paratifoide':2,A01.1,FIEBRE PARATIFOIDEA A,,S
300035,"Infeccion, Salmonella paratyphi A",A011,'infeccion':1 'paratyphi':3 'salmonell':2,A01.1,FIEBRE PARATIFOIDEA A,,S
300036,Fiebre paratifoidea B,A012,'b':3 'fiebr':1 'paratifoide':2,A01.2,FIEBRE PARATIFOIDEA B,,S
300037,"Infeccion, Salmonella paratyphi B",A012,'b':4 'infeccion':1 'paratyphi':3 'salmonell':2,A01.2,FIEBRE PARATIFOIDEA B,,S
300038,"Infeccion, Salmonella schottmuelleri",A012,'infeccion':1 'salmonell':2 'schottmuelleri':3,A01.2,FIEBRE PARATIFOIDEA B,,S
300039,Fiebre paratifoidea C,A013,'c':3 'fiebr':1 'paratifoide':2,A01.3,FIEBRE PARATIFOIDEA C,,S
300040,"Infeccion, Salmonella hirschfeldii",A013,'hirschfeldii':3 'infeccion':1 'salmonell':2,A01.3,FIEBRE PARATIFOIDEA C,,S
300041,"Infeccion, Salmonella paratyphi C",A013,'c':4 'infeccion':1 'paratyphi':3 'salmonell':2,A01.3,FIEBRE PARATIFOIDEA C,,S
300042,Enteritis paratifoidea (fiebre),A014,'enteritis':1 'fiebr':3 'paratifoide':2,A01.4,"FIEBRE PARATIFOIDEA, NO ESPECIFICADA",,S
300043,fiebre paratifoidea,A014,'fiebr':1 'paratifoide':2,A01.4,"FIEBRE PARATIFOIDEA, NO ESPECIFICADA",,S
300044,"Infeccion, Salmonella paratyphi",A014,'infeccion':1 'paratyphi':3 'salmonell':2,A01.4,"FIEBRE PARATIFOIDEA, NO ESPECIFICADA",,S
300045,paratifoidea,A014,'paratifoide':1,A01.4,"FIEBRE PARATIFOIDEA, NO ESPECIFICADA",,S
300046,"Arizona, enteritis",A020,'arizon':1 'enteritis':2,A02.0,ENTERITIS DEBIDA A SALMONELLA,,
300047,"Disenteria, Salmonella",A020,'disenteri':1 'salmonell':2,A02.0,ENTERITIS DEBIDA A SALMONELLA,,
300048,enteritis bacteriana por salmonella,A020,'bacterian':2 'enteritis':1 'salmonell':4,A02.0,ENTERITIS DEBIDA A SALMONELLA,,
300049,Enteritis infecciosa debida a bacilo Arizona,A020,'arizon':6 'bacil':5 'deb':3 'enteritis':1 'infecci':2,A02.0,ENTERITIS DEBIDA A SALMONELLA,,
300050,Enteritis infecciosa debida Bacillus paracolon  (Arizona),A020,'arizon':6 'bacillus':4 'deb':3 'enteritis':1 'infecci':2 'paracolon':5,A02.0,ENTERITIS DEBIDA A SALMONELLA,,
300051,"Enteritis Salmonella, salmonelosis (arizonae) (cholerae-suis) (enteritidis) (typhimurium)",A020,'arizona':4 'cholera':6 'cholerae-suis':5 'enteritidis':8 'enteritis':1 'salmonell':2 'salmonelosis':3 'suis':7 'typhimurium':9,A02.0,ENTERITIS DEBIDA A SALMONELLA,,
300052,Gastroenteritis debida salmonella,A020,'deb':2 'gastroenteritis':1 'salmonell':3,A02.0,ENTERITIS DEBIDA A SALMONELLA,,
300053,infección intestinal por salmonella,A020,'infeccion':1 'intestinal':2 'salmonell':4,A02.0,ENTERITIS DEBIDA A SALMONELLA,,
300054,"Infeccion, Salmonella con (gastro)enteritis",A020,'enteritis':5 'gastr':4 'infeccion':1 'salmonell':2,A02.0,ENTERITIS DEBIDA A SALMONELLA,,
300055,Intoxicacion alimentaria debida Salmonella con (gastro)enteritis,A020,'alimentari':2 'deb':3 'enteritis':7 'gastr':6 'intoxicacion':1 'salmonell':4,A02.0,ENTERITIS DEBIDA A SALMONELLA,,
300056,salmonelosis,A020,'salmonelosis':1,A02.0,ENTERITIS DEBIDA A SALMONELLA,,
300057,Salmonella ,A020,'salmonell':1,A02.0,ENTERITIS DEBIDA A SALMONELLA,,
300058,Infeccion por Salmonella con septicemia,A021,'infeccion':1 'salmonell':3 'septicemi':5,A02.1,SEPTICEMIA DEBIDA A SALMONELLA,,
300059,Intoxicacion alimentaria debida Salmonella con septicemia,A021,'alimentari':2 'deb':3 'intoxicacion':1 'salmonell':4 'septicemi':6,A02.1,SEPTICEMIA DEBIDA A SALMONELLA,,
300060,sepsis por salmonella,A021,'salmonell':3 'sepsis':1,A02.1,SEPTICEMIA DEBIDA A SALMONELLA,,
300061,septicemia por salmonella,A021,'salmonell':3 'septicemi':1,A02.1,SEPTICEMIA DEBIDA A SALMONELLA,,
300062,"Septicemia, Salmonella (arizonae) (cholerae-suis) (enteritidis) (typhimurium)",A021,'arizona':3 'cholera':5 'cholerae-suis':4 'enteritidis':7 'salmonell':2 'septicemi':1 'suis':6 'typhimurium':8,A02.1,SEPTICEMIA DEBIDA A SALMONELLA,,
300064,Intoxicacion alimentaria debida Salmonella con infeccion(es) localizada(s),A022,'alimentari':2 'deb':3 'infeccion':6 'intoxicacion':1 'localiz':8 's':9 'salmonell':4,A02.2,INFECCIONES LOCALIZADAS DEBIDAS A SALMONELLA,,
300063,Infeccion por Salmonella localizada ,A022,'infeccion':1 'localiz':4 'salmonell':3,A02.2,INFECCIONES LOCALIZADAS DEBIDAS A SALMONELLA,,
300065,Infeccion por Salmonella con manifestacion especificada ,A028,'especific':6 'infeccion':1 'manifestacion':5 'salmonell':3,A02.8,OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA,,
300066,Intoxicacion alimentaria debida Salmonella con manifestaciones especificadas,A028,'alimentari':2 'deb':3 'especific':7 'intoxicacion':1 'manifest':6 'salmonell':4,A02.8,OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA,,
300067,Envenenamiento por Salmonella ,A029,'envenen':1 'salmonell':3,A02.9,"INFECCION DEBIDA A SALMONELLA, NO ESPECIFICADA",,
300068,infección por salmonella,A029,'infeccion':1 'salmonell':3,A02.9,"INFECCION DEBIDA A SALMONELLA, NO ESPECIFICADA",,
300069,infección por salmonellas,A029,'infeccion':1 'salmonell':3,A02.9,"INFECCION DEBIDA A SALMONELLA, NO ESPECIFICADA",,
300070,Infeccion por Salmonella (arizonae) (cholerae-suis) (enteritidis) (typhimurium),A029,'arizona':4 'cholera':6 'cholerae-suis':5 'enteritidis':8 'infeccion':1 'salmonell':3 'suis':7 'typhimurium':9,A02.9,"INFECCION DEBIDA A SALMONELLA, NO ESPECIFICADA",,
300071,Infeccion por Salmonella debida a alimentos ,A029,'aliment':6 'deb':4 'infeccion':1 'salmonell':3,A02.9,"INFECCION DEBIDA A SALMONELLA, NO ESPECIFICADA",,
300072,Intoxicacion alimentaria debida Salmonella,A029,'alimentari':2 'deb':3 'intoxicacion':1 'salmonell':4,A02.9,"INFECCION DEBIDA A SALMONELLA, NO ESPECIFICADA",,
300073,intoxicación alimentaría por salmonella,A029,'aliment':2 'intox':1 'salmonell':4,A02.9,"INFECCION DEBIDA A SALMONELLA, NO ESPECIFICADA",,
300074,intoxicación bacteriana por salmonella,A029,'bacterian':2 'intox':1 'salmonell':4,A02.9,"INFECCION DEBIDA A SALMONELLA, NO ESPECIFICADA",,
300075,salmonellas,A029,'salmonell':1,A02.9,"INFECCION DEBIDA A SALMONELLA, NO ESPECIFICADA",,
300076,Disenteria bacilar de Schmitz(-Stutzer),A030,'bacil':2 'disenteri':1 'schmitz':4 'stutz':5,A03.0,SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE,,
300077,Disenteria bacilar de Shiga(-Kruse),A030,'bacil':2 'disenteri':1 'krus':5 'shig':4,A03.0,SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE,,
300078,Disenteria bacilar por Shigella A,A030,'bacil':2 'disenteri':1 'shigell':4,A03.0,SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE,,
300079,Disenteria de Schmitz(-Stutzer),A030,'disenteri':1 'schmitz':3 'stutz':4,A03.0,SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE,,
300080,Disenteria de Shiga(-Kruse),A030,'disenteri':1 'krus':4 'shig':3,A03.0,SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE,,
300081,Infeccion por bacilo Shiga(-Kruse),A030,'bacil':3 'infeccion':1 'krus':5 'shig':4,A03.0,SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE,,
300082,Infeccion por Shigella dysenteriae,A030,'dysenteria':4 'infeccion':1 'shigell':3,A03.0,SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE,,
300085,Infeccion por Shigella shigae,A030,'infeccion':1 'shiga':4 'shigell':3,A03.0,SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE,,
300087,Shigella debida a dysenteriae (grupo A),A030,'deb':2 'dysenteria':4 'grup':5 'shigell':1,A03.0,SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE,,
300083,Infeccion por Shigella grupo A,A030,'grup':4 'infeccion':1 'shigell':3,A03.0,SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE,,
300084,Infeccion por Shigella schmitzii,A030,'infeccion':1 'schmitzii':4 'shigell':3,A03.0,SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE,,
300086,disenteria (bacilo) de Shiga(-Kruse),A030,'bacil':2 'disenteri':1 'krus':5 'shig':4,A03.0,SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE,,
300088,Disenteria bacilar de Flexner,A031,'bacil':2 'disenteri':1 'flexn':4,A03.1,SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI,,
300089,Disenteria bacilar por Shigella B,A031,'b':5 'bacil':2 'disenteri':1 'shigell':4,A03.1,SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI,,
300090,Disenteria de Flexner,A031,'disenteri':1 'flexn':3,A03.1,SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI,,
300091,Disenteria de His-Russell,A031,'disenteri':1 'his':4 'his-russell':3 'russell':5,A03.1,SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI,,
300092,diarrea de Flexner,A031,'diarre':1 'flexn':3,A03.1,SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI,,
300093,disenteria de Hiss-Russell,A031,'disenteri':1 'hiss':4 'hiss-russell':3 'russell':5,A03.1,SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI,,
300094,Infeccion por bacilo Flexner,A031,'bacil':3 'flexn':4 'infeccion':1,A03.1,SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI,,
300095,Infeccion por Shigella flexneri,A031,'flexneri':4 'infeccion':1 'shigell':3,A03.1,SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI,,
300096,Infeccion por Shigella grupo B,A031,'b':5 'grup':4 'infeccion':1 'shigell':3,A03.1,SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI,,
300097,Shigelosis debida a Shigella flexneri (grupo B),A031,'b':7 'deb':2 'flexneri':5 'grup':6 'shigell':4 'shigelosis':1,A03.1,SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI,,
300098,disenteria de Boyd,A032,'boyd':3 'disenteri':1,A03.2,SHIGELOSIS DEBIDA A SHIGELLA BOYDII,,
300099,Disenteria bacilar de Boyd,A032,'bacil':2 'boyd':4 'disenteri':1,A03.2,SHIGELOSIS DEBIDA A SHIGELLA BOYDII,,
300100,Disenteria bacilar por Shigella boidii,A032,'bacil':2 'boidii':5 'disenteri':1 'shigell':4,A03.2,SHIGELOSIS DEBIDA A SHIGELLA BOYDII,,
300101,Disenteria bacilar por Shigella C,A032,'bacil':2 'c':5 'disenteri':1 'shigell':4,A03.2,SHIGELOSIS DEBIDA A SHIGELLA BOYDII,,
300102,"Infeccion, Shigella boydii",A032,'boydii':3 'infeccion':1 'shigell':2,A03.2,SHIGELOSIS DEBIDA A SHIGELLA BOYDII,,
300103,Infeccion por Shigella grupo C,A032,'c':5 'grup':4 'infeccion':1 'shigell':3,A03.2,SHIGELOSIS DEBIDA A SHIGELLA BOYDII,,
300104,Shigelosis debida a Shigella boydii (grupo C),A032,'boydii':5 'c':7 'deb':2 'grup':6 'shigell':4 'shigelosis':1,A03.2,SHIGELOSIS DEBIDA A SHIGELLA BOYDII,,
300105,Disenteria bacilar por Shigella D,A033,'bacil':2 'd':5 'disenteri':1 'shigell':4,A03.3,SHIGELOSIS DEBIDA A SHIGELLA SONNEI,,
300106,Disenteria bacilar por Shigella sonnei ,A033,'bacil':2 'disenteri':1 'shigell':4 'sonnei':5,A03.3,SHIGELOSIS DEBIDA A SHIGELLA SONNEI,,
300107,Disenteria de Sonne,A033,'disenteri':1 'sonn':3,A03.3,SHIGELOSIS DEBIDA A SHIGELLA SONNEI,,
300108,Infeccion por Shigella grupo D,A033,'d':5 'grup':4 'infeccion':1 'shigell':3,A03.3,SHIGELOSIS DEBIDA A SHIGELLA SONNEI,,
300109,Infeccion por Shigella sonnei,A033,'infeccion':1 'shigell':3 'sonnei':4,A03.3,SHIGELOSIS DEBIDA A SHIGELLA SONNEI,,
300110,Shigelosis debida a Shigella  sonnei (grupo D),A033,'d':7 'deb':2 'grup':6 'shigell':4 'shigelosis':1 'sonnei':5,A03.3,SHIGELOSIS DEBIDA A SHIGELLA SONNEI,,
300111,Disenteria bacilar especificada,A038,'bacil':2 'disenteri':1 'especific':3,A03.8,OTRAS SHIGELOSIS,,
300112,Disenteria bacilar por Shigella tipo especificado ,A038,'bacil':2 'disenteri':1 'especific':6 'shigell':4 'tip':5,A03.8,OTRAS SHIGELOSIS,,
300113,Infeccion por Shigella tipo especificado,A038,'especific':5 'infeccion':1 'shigell':3 'tip':4,A03.8,OTRAS SHIGELOSIS,,
300114,Shigelosis no especificada,A038,'especific':3 'shigelosis':1,A03.8,OTRAS SHIGELOSIS,,
300115,Colitis bacilar ,A039,'bacil':2 'colitis':1,A03.9,SHIGELOSIS DE TIPO NO ESPECIFICADO,,
300116,Disenteria de los asilos,A039,'asil':4 'disenteri':1,A03.9,SHIGELOSIS DE TIPO NO ESPECIFICADO,,
300117,Disenteria bacilar ,A039,'bacil':2 'disenteri':1,A03.9,SHIGELOSIS DE TIPO NO ESPECIFICADO,,
300118,"Disenteria, bacilar con artritis",A039,'artritis':4 'bacil':2 'disenteri':1,A03.9,SHIGELOSIS DE TIPO NO ESPECIFICADO,,
300119,Disenteria bacilar por Shigella ,A039,'bacil':2 'disenteri':1 'shigell':4,A03.9,SHIGELOSIS DE TIPO NO ESPECIFICADO,,
300120,Disenteria por Shigella ,A039,'disenteri':1 'shigell':3,A03.9,SHIGELOSIS DE TIPO NO ESPECIFICADO,,
300121,Enteritis bacilar,A039,'bacil':2 'enteritis':1,A03.9,SHIGELOSIS DE TIPO NO ESPECIFICADO,,
300122,Enteritis por Shigella ,A039,'enteritis':1 'shigell':3,A03.9,SHIGELOSIS DE TIPO NO ESPECIFICADO,,
300123,Infeccion por Shigella ,A039,'infeccion':1 'shigell':3,A03.9,SHIGELOSIS DE TIPO NO ESPECIFICADO,,
300124,Septicemia por Shigella,A039,'septicemi':1 'shigell':3,A03.9,SHIGELOSIS DE TIPO NO ESPECIFICADO,,
300125,shigelosis,A039,'shigelosis':1,A03.9,SHIGELOSIS DE TIPO NO ESPECIFICADO,,
300128,Infeccio por Escherichia enteropatogena,A040,'enteropatogen':4 'escherichi':3 'infecci':1,A04.0,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROPATOGENA,,
300126,Diarrea debida a Escherichia enteropatogena,A040,'deb':2 'diarre':1 'enteropatogen':5 'escherichi':4,A04.0,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROPATOGENA,,
300127,Enteritis infecciosa debida a Escherichia enteropatogena,A040,'deb':3 'enteritis':1 'enteropatogen':6 'escherichi':5 'infecci':2,A04.0,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROPATOGENA,,
300129,Diarrea debida a Escherichia enterotoxigena,A041,'deb':2 'diarre':1 'enterotoxigen':5 'escherichi':4,A04.1,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROTOXIGENA,,
300130,Enteritis infecciosa debida a Escherichia enterotoxigena,A041,'deb':3 'enteritis':1 'enterotoxigen':6 'escherichi':5 'infecci':2,A04.1,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROTOXIGENA,,
300131,Infeccion por Escherichia enterotoxigena,A041,'enterotoxigen':4 'escherichi':3 'infeccion':1,A04.1,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROTOXIGENA,,
300132,Diarrea debida a Escherichia enteroinvasiva,A042,'deb':2 'diarre':1 'enteroinvas':5 'escherichi':4,A04.2,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA,,
300133,Enteritis infecciosa debida a Escherichia enteroinvasiva,A042,'deb':3 'enteritis':1 'enteroinvas':6 'escherichi':5 'infecci':2,A04.2,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA,,
300134,Infeccion por  Escherichia enteroinvasiva,A042,'enteroinvas':4 'escherichi':3 'infeccion':1,A04.2,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA,,
300135,Diarrea debida a Escherichia enterohemorragica,A043,'deb':2 'diarre':1 'enterohemorrag':5 'escherichi':4,A04.3,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROHEMORRAGICA,,
300136,Enteritis infecciosa debida a Escherichia enterohemorragica,A043,'deb':3 'enteritis':1 'enterohemorrag':6 'escherichi':5 'infecci':2,A04.3,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROHEMORRAGICA,,
300137,Infeccion por Escherichia enterohemorragica,A043,'enterohemorrag':4 'escherichi':3 'infeccion':1,A04.3,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROHEMORRAGICA,,
300138,diarrea debida a escherichia coli,A044,'coli':5 'deb':2 'diarre':1 'escherichi':4,A04.4,OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI,,
300139,Diarrea debida a Escherichia enteroagregativa,A044,'deb':2 'diarre':1 'enteroagreg':5 'escherichi':4,A04.4,OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI,,
300140,Diarrea debida a Escherichia especificada,A044,'deb':2 'diarre':1 'escherichi':4 'especific':5,A04.4,OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI,,
300141,"e.coli, resistente a quinolonas",A044,'e.coli':1 'quinolon':4 'resistent':2,A04.4,OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI,,
300142,enteritis bacteriana,A044,'bacterian':2 'enteritis':1,A04.4,OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI,,
300143,enteritis bacteriana por escherichia coli,A044,'bacterian':2 'coli':5 'enteritis':1 'escherichi':4,A04.4,OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI,,
300144,Enteritis infecciosa debida Bacillus coli,A044,'bacillus':4 'coli':5 'deb':3 'enteritis':1 'infecci':2,A04.4,OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI,,
300145,Enteritis infecciosa debida Escherichia coli,A044,'coli':5 'deb':3 'enteritis':1 'escherichi':4 'infecci':2,A04.4,OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI,,
300146,Enteritis infecciosa debida Escherichia enteroagregativa,A044,'deb':3 'enteritis':1 'enteroagreg':5 'escherichi':4 'infecci':2,A04.4,OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI,,
300147,infección intestinal por escherichia coli,A044,'coli':5 'escherichi':4 'infeccion':1 'intestinal':2,A04.4,OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI,,
300148,Infeccion  intestinal por Escherichia,A044,'escherichi':4 'infeccion':1 'intestinal':2,A04.4,OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI,,
300149,Infeccion intestinal debida a Escherichia coli ,A044,'coli':6 'deb':3 'escherichi':5 'infeccion':1 'intestinal':2,A04.4,OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI,,
300150,"e coli, resistente a quinolonas",A044,'coli':2 'quinolon':5 'resistent':3,A04.4,OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI,,
300151,Diarrea disenterica debida a Campylobacter,A045,'campylobact':5 'deb':3 'diarre':1 'disenter':2,A04.5,ENTERITIS DEBIDA A CAMPYLOBACTER,,
300152,Enteritis infecciosa debida Campilobacter,A045,'campilobact':4 'deb':3 'enteritis':1 'infecci':2,A04.5,ENTERITIS DEBIDA A CAMPYLOBACTER,,
300153,Infeccion intestinal por Campylobacter,A045,'campylobact':4 'infeccion':1 'intestinal':2,A04.5,ENTERITIS DEBIDA A CAMPYLOBACTER,,
300154,Diarrea debida a Yersinia enterocolitica,A046,'deb':2 'diarre':1 'enterocolit':5 'yersini':4,A04.6,ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA,,
300155,Enteritis infecciosa debida Yersinia enterocolitica,A046,'deb':3 'enteritis':1 'enterocolit':5 'infecci':2 'yersini':4,A04.6,ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA,,
300156,Infeccion por Yersinia enterocolitica intestinal,A046,'enterocolit':4 'infeccion':1 'intestinal':5 'yersini':3,A04.6,ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA,,
300157,Yersiniosis intestinal,A046,'intestinal':2 'yersiniosis':1,A04.6,ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA,,
300158,Diarrea debida a Clostridium difficile,A047,'clostridium':4 'deb':2 'diarre':1 'difficil':5,A04.7,ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE,,
300159,Enteritis infecciosa debida a Clostridium difficile,A047,'clostridium':5 'deb':3 'difficil':6 'enteritis':1 'infecci':2,A04.7,ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE,,
300160,Enterocolitis debida a Clostridium difficile,A047,'clostridium':4 'deb':2 'difficil':5 'enterocolitis':1,A04.7,ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE,,
300161,Enterocolitis necrotizante debida a Clostridium difficile,A047,'clostridium':5 'deb':3 'difficil':6 'enterocolitis':1 'necrotiz':2,A04.7,ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE,,
300162,Diarrea debida a bacteria especificada ,A048,'bacteri':4 'deb':2 'diarre':1 'especific':5,A04.8,OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS,,
300163,Diarrea debida a Clostridium perfringens,A048,'clostridium':4 'deb':2 'diarre':1 'perfringens':5,A04.8,OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS,,
